date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:08:02	45047/45047	---MCZ	200	added ('OK')	text/html	etag:W/%226182562a-aff7%22	https://radiustheme.com/demo/html/Deltech Technologies/faq.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/faq.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:02	42439/42439	---MCZ	200	added ('OK')	text/html	etag:W/%226182562c-a5c7%22	https://radiustheme.com/demo/html/Deltech Technologies/history.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/history.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:03	43664/43664	---MCZ	200	added ('OK')	text/html	etag:W/%2261825625-aa90%22	https://radiustheme.com/demo/html/Deltech Technologies/careers.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/careers.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:03	54138/54138	---MCZ	200	added ('OK')	text/html	etag:W/%2261825631-d37a%22	https://radiustheme.com/demo/html/Deltech Technologies/it-solution.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/it-solution.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:03	45656/45656	---MCZ	200	added ('OK')	text/html	etag:W/%2261825631-b258%22	https://radiustheme.com/demo/html/Deltech Technologies/it-services.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/it-services.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:03	45745/45745	---MCZ	200	added ('OK')	text/html	etag:W/%226182562e-b2b1%22	https://radiustheme.com/demo/html/Deltech Technologies/industries-services.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/industries-services.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:03	47784/47784	---MCZ	200	added ('OK')	text/html	etag:W/%2261825635-baa8%22	https://radiustheme.com/demo/html/Deltech Technologies/services-details.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/services-details.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:04	40457/40457	---MCZ	200	added ('OK')	text/html	etag:W/%2261825636-9e09%22	https://radiustheme.com/demo/html/Deltech Technologies/services-details-02.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/services-details-02.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:04	54953/54953	---MCZ	200	added ('OK')	text/html	etag:W/%2261825636-d6a9%22	https://radiustheme.com/demo/html/Deltech Technologies/services-details-03.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/services-details-03.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:04	45478/45478	---MCZ	200	added ('OK')	text/html	etag:W/%2261825638-b1a6%22	https://radiustheme.com/demo/html/Deltech Technologies/team.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/team.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:04	50474/50474	---MCZ	200	added ('OK')	text/html	etag:W/%2261825635-c52a%22	https://radiustheme.com/demo/html/Deltech Technologies/price.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/price.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:05	6826/6826	---MCZ	200	added ('OK')	text/html	etag:W/%2261825622-1aaa%22	https://radiustheme.com/demo/html/Deltech Technologies/404.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/404.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:05	40467/40467	---MCZ	200	added ('OK')	text/html	etag:W/%2261825626-9e13%22	https://radiustheme.com/demo/html/Deltech Technologies/case-01.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/case-01.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:05	43520/43520	---MCZ	200	added ('OK')	text/html	etag:W/%2261825627-aa00%22	https://radiustheme.com/demo/html/Deltech Technologies/case-02.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/case-02.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:05	41102/41102	---MCZ	200	added ('OK')	text/html	etag:W/%2261825627-a08e%22	https://radiustheme.com/demo/html/Deltech Technologies/case-03.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/case-03.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:05	43819/43819	---MCZ	200	added ('OK')	text/html	etag:W/%2261825629-ab2b%22	https://radiustheme.com/demo/html/Deltech Technologies/case-details.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/case-details.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:06	60761/60761	---MCZ	200	added ('OK')	text/html	etag:W/%2261825624-ed59%22	https://radiustheme.com/demo/html/Deltech Technologies/blog-details.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/blog-details.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:06	49553/49553	---MCZ	200	added ('OK')	text/html	etag:W/%226182562c-c191%22	https://radiustheme.com/demo/html/Deltech Technologies/grid-layout.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/grid-layout.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:06	47432/47432	---MCZ	200	added ('OK')	text/html	etag:W/%2261825633-b948%22	https://radiustheme.com/demo/html/Deltech Technologies/list-layout.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/list-layout.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:06	52636/52636	---MCZ	200	added ('OK')	text/html	etag:W/%2261825624-cd9c%22	https://radiustheme.com/demo/html/Deltech Technologies/blog-details-no-sidebar.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/blog-details-no-sidebar.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:06	34166/34166	---MCZ	200	added ('OK')	text/html	etag:W/%2261825628-8576%22	https://radiustheme.com/demo/html/Deltech Technologies/contact.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/contact.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:07	112529/112529	---M--	200	added ('OK')	image/jpeg	etag:%22618256a8-1b791%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/bg/hero-bg-1.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/bg/hero-bg-1.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:07	2570/2570	---M--	200	added ('OK')	image/png	etag:%2261825737-a0a%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-1.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-1.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:07	96607/96607	---M--	200	added ('OK')	image/png	etag:%2261825738-1795f%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-2.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-2.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:07	152653/152653	---M--	200	added ('OK')	image/jpeg	etag:%22618256a9-2544d%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/bg/hero-bg-2.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/bg/hero-bg-2.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:08	177351/177351	---M--	200	added ('OK')	image/png	etag:%2261825739-2b4c7%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-4.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-4.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
